generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,build_priority
233,learned,72793,500,455,0,438,0.910000,8.676000,51.510000,6.464000,1.366496,2.905410,1.722501,3.319809,0.213828,0.857263,
234,kept,72793,500,455,0,438,0.910000,8.676000,51.510000,6.464000,1.366496,2.905410,1.722501,3.319809,0.213828,0.857263,
235,kept,72793,500,455,0,438,0.910000,8.676000,51.510000,6.464000,1.366496,2.905410,1.722501,3.319809,0.213828,0.857263,
236,learned,72442,500,453,0,438,0.906000,8.634000,51.248000,6.344000,1.324565,2.949449,1.688260,3.329410,0.213661,0.864400,
237,learned,72964,500,456,0,442,0.912000,8.802000,51.538000,6.550000,1.347915,2.962495,1.717185,3.308934,0.204548,0.871180,
238,learned,70253,500,445,0,427,0.890000,8.656000,50.656000,7.560000,1.334513,3.010769,1.694714,3.295289,0.194321,0.877621,
239,kept,70253,500,445,0,427,0.890000,8.656000,50.656000,7.560000,1.334513,3.010769,1.694714,3.295289,0.194321,0.877621,
240,learned,73256,500,457,0,441,0.914000,8.666000,51.808000,6.486000,1.351036,3.010489,1.700874,3.335407,0.192012,0.883740,
241,kept,73256,500,457,0,441,0.914000,8.666000,51.808000,6.486000,1.351036,3.010489,1.700874,3.335407,0.192012,0.883740,
242,kept,73256,500,457,0,441,0.914000,8.666000,51.808000,6.486000,1.351036,3.010489,1.700874,3.335407,0.192012,0.883740,
243,kept,73256,500,457,0,441,0.914000,8.666000,51.808000,6.486000,1.351036,3.010489,1.700874,3.335407,0.192012,0.883740,
244,kept,73256,500,457,0,441,0.914000,8.666000,51.808000,6.486000,1.351036,3.010489,1.700874,3.335407,0.192012,0.883740,
245,kept,73256,500,457,0,441,0.914000,8.666000,51.808000,6.486000,1.351036,3.010489,1.700874,3.335407,0.192012,0.883740,
246,learned,74103,500,460,0,438,0.920000,8.810000,51.994000,5.728000,1.379428,3.007395,1.672797,3.307114,0.186315,0.889553,
247,kept,74103,500,460,0,438,0.920000,8.810000,51.994000,5.728000,1.379428,3.007395,1.672797,3.307114,0.186315,0.889553,
248,kept,74103,500,460,0,438,0.920000,8.810000,51.994000,5.728000,1.379428,3.007395,1.672797,3.307114,0.186315,0.889553,
249,kept,74103,500,460,0,438,0.920000,8.810000,51.994000,5.728000,1.379428,3.007395,1.672797,3.307114,0.186315,0.889553,
250,kept,74103,500,460,0,438,0.920000,8.810000,51.994000,5.728000,1.379428,3.007395,1.672797,3.307114,0.186315,0.889553,
251,kept,74103,500,460,0,438,0.920000,8.810000,51.994000,5.728000,1.379428,3.007395,1.672797,3.307114,0.186315,0.889553,
252,kept,74103,500,460,0,438,0.920000,8.810000,51.994000,5.728000,1.379428,3.007395,1.672797,3.307114,0.186315,0.889553,
253,kept,74103,500,460,0,438,0.920000,8.810000,51.994000,5.728000,1.379428,3.007395,1.672797,3.307114,0.186315,0.889553,
254,kept,74103,500,460,0,438,0.920000,8.810000,51.994000,5.728000,1.379428,3.007395,1.672797,3.307114,0.186315,0.889553,
255,kept,74103,500,460,0,438,0.920000,8.810000,51.994000,5.728000,1.379428,3.007395,1.672797,3.307114,0.186315,0.889553,
256,learned,72066,500,452,0,433,0.904000,8.810000,51.140000,6.558000,1.346687,2.996473,1.643930,3.284415,0.176999,0.895075,
257,learned,71882,500,454,0,429,0.908000,8.872000,50.764000,6.990000,1.344930,2.952459,1.618476,3.254308,0.168149,0.888531,
258,kept,71882,500,454,0,429,0.908000,8.872000,50.764000,6.990000,1.344930,2.952459,1.618476,3.254308,0.168149,0.888531,
259,kept,71882,500,454,0,429,0.908000,8.872000,50.764000,6.990000,1.344930,2.952459,1.618476,3.254308,0.168149,0.888531,
260,kept,71882,500,454,0,429,0.908000,8.872000,50.764000,6.990000,1.344930,2.952459,1.618476,3.254308,0.168149,0.888531,
261,kept,71882,500,454,0,429,0.908000,8.872000,50.764000,6.990000,1.344930,2.952459,1.618476,3.254308,0.168149,0.888531,
262,learned,69737,500,444,0,420,0.888000,8.854000,49.824000,7.270000,1.376487,2.927584,1.628128,3.296709,0.159741,0.894105,
263,kept,69737,500,444,0,420,0.888000,8.854000,49.824000,7.270000,1.376487,2.927584,1.628128,3.296709,0.159741,0.894105,
